,vehicleid,status,rptdatetime,velocity,direction,call_id,geom,marvlis_bayes_id,lat,lon
0,93,AT SCENE,2012-09-07 00:00:04,25.0,78.0,122500374.0,0101000020E6100000B62DCA6C90955EC0452A8C2D04E94240,13706840,37.82044,-122.33694
1,54,AT SCENE,2012-09-07 00:00:05,50.0,81.0,122500374.0,0101000020E6100000F67AF7C77B955EC08CD651D504E94240,13706841,37.82046,-122.33568
2,54,AT SCENE,2012-09-07 00:00:05,62.0,69.0,122500374.0,0101000020E610000023A12DE752965EC08DEE2076A6E84240,13706842,37.81758,-122.34881
3,54,AT SCENE,2012-09-07 00:00:05,36.0,81.0,122500374.0,0101000020E6100000857CD0B359955EC0DBC4C9FD0EE94240,13706843,37.82077,-122.3336
4,54,AT SCENE,2012-09-07 00:00:05,0.0,59.0,122500374.0,0101000020E6100000614F3BFC35975EC007EBFF1CE6E74240,13706844,37.81171,-122.36267
5,54,AT SCENE,2012-09-07 00:00:05,18.0,83.0,122500374.0,0101000020E6100000ACC5A70018955EC030F5F3A622E94240,13706845,37.82137,-122.32959
6,54,AT SCENE,2012-09-07 00:00:05,60.0,69.0,122500374.0,0101000020E610000046EBA86A82965EC0545227A089E84240,13706846,37.8167,-122.35171
7,54,AT SCENE,2012-09-07 00:00:05,53.0,80.0,122500374.0,0101000020E6100000F2CD3637A6955EC08CB96B09F9E84240,13706847,37.8201,-122.33827
8,54,AT SCENE,2012-09-07 00:00:05,57.0,69.0,122500374.0,0101000020E6100000B285200725965EC00D37E0F3C3E84240,13706848,37.81848,-122.34601
9,54,AT SCENE,2012-09-07 00:00:05,45.0,69.0,122500374.0,0101000020E61000002254A9D903975EC0F12900C633E84240,13706849,37.81408,-122.35961
10,54,AT SCENE,2012-09-07 00:00:05,17.0,74.0,122500374.0,0101000020E610000026361FD786945EC03EB324404DE94240,13706850,37.82267,-122.32073
11,54,AT SCENE,2012-09-07 00:00:05,0.0,14.0,122500374.0,0101000020E6100000A6272CF180945EC0056EDDCD53E94240,13706851,37.82287,-122.32037
12,54,AT SCENE,2012-09-07 00:00:05,5.0,22.0,122500374.0,0101000020E61000005709168733975EC01D774A07EBE74240,13706852,37.81186,-122.36252
13,54,AT SCENE,2012-09-07 00:00:05,5.0,22.0,122500374.0,0101000020E61000005709168733975EC01D774A07EBE74240,13706853,37.81186,-122.36252
14,54,AT SCENE,2012-09-07 00:00:05,23.0,86.0,122500374.0,0101000020E61000001E166A4DF3945EC04CA60A4625E94240,13706854,37.82145,-122.32735
15,54,AT SCENE,2012-09-07 00:00:05,36.0,74.0,122500374.0,0101000020E6100000A27A6B60AB945EC04CE0D6DD3CE94240,13706855,37.82217,-122.32296
16,54,AT SCENE,2012-09-07 00:00:05,51.0,80.0,122500374.0,0101000020E610000059A31EA2D1955EC08D9C853DEDE84240,13706856,37.81974,-122.34092
17,54,AT SCENE,2012-09-07 00:00:05,16.0,79.0,122500374.0,0101000020E6100000666B7D91D0945EC03737A6272CE94240,13706857,37.82166,-122.32523
